nodeID;EI_ratio;genePC1;receptor_den;t1t2_ratio;cortical_thickness;x;y;z
0;1.210010111;-0.030371971;0.499999635;1.734933369;3.886453022;-35.222542;-38.429971;-21.574463
1;1.251842661;0.016789151;0.482235876;1.7853812;3.585763372;-36.56829;-54.683807;-17.885848
2;1.261947491;-0.017596178;0.570563991;1.810840327;3.630625255;-27.710723;-44.208237;-14.731203
3;1.220099831;-0.039212354;0.523262775;1.711798134;3.21527396;-28.698398;-36.336251;-14.740993
4;1.38653746;-2.7449E-05;0.491018022;1.859665363;3.331922542;-27.898998;-61.177898;-12.501398
5;1.310946875;0.031963629;0.458413982;1.83235088;3.319484206;-32.509224;-70.987118;-14.171903
6;1.328740172;0.02732615;0.469711838;1.747343252;3.230964399;-40.953139;-70.78031;-12.074942
7;1.534840812;0.018046195;0.502273491;1.851978677;2.976772678;-25.530163;-58.745934;-7.992435
8;1.664564515;0.052945054;0.460269483;1.905316123;2.864964852;-21.761571;-75.962397;-9.166419
9;1.295782715;0.041596055;0.416922605;1.806376454;3.165900084;-36.024924;-81.342358;-13.469804
10;1.012954343;0.010713896;0.325139818;2.030708042;3.173567273;-16.758967;-37.354465;-10.996143
11;1.39559473;0.05865467;0.39935281;1.924673045;2.6411846;-21.026887;-86.430496;-12.368936
12;1.497685359;0.033618281;0.464186552;1.873930746;3.091548476;-22.135271;-49.255067;-7.118304
13;1.140619088;0.049704979;0.262616651;1.844979059;3.011344374;-33.809082;-87.709583;-11.886291
14;1.493801424;0.055475012;0.362185198;1.993899105;2.650161275;-11.857447;-83.80131;-11.564783
15;1.417669447;0.020046725;0.497793545;1.737187867;3.150335944;-42.338466;-74.385177;-5.048548
16;1.547337514;0.073498003;0.373047198;2.025793521;2.674006807;-10.153102;-76.357557;-5.907657
17;1.529710591;0.066892556;0.37979151;2.033518701;2.890428655;-12.504901;-63.786026;-3.36142
18;1.374572864;0.032816272;0.305407494;2.020987199;3.072027268;-14.615402;-51.112143;-6.507004
19;1.081375959;0.065967808;0.206234754;2.03664051;2.334753451;-9.26299;-94.683936;-11.524535
20;1.107688873;-0.042022323;0.231045524;2.162653208;2.685310007;-12.90135;-40.214649;-4.895456
21;1.324383385;0.065542464;0.304506517;1.98321293;2.487077973;-22.85548;-96.002534;-8.812444
22;1.502998833;0.050980757;0.364856871;1.816719875;3.05490705;-38.681569;-86.047684;-2.702071
23;1.347984154;0.070105737;0.331333001;2.096840732;2.336223394;-3.796306;-87.185849;-6.614458
24;1.600762974;0.085573214;0.427148907;2.141408475;2.36690119;-4.008716;-72.608208;1.79681
25;1.681749274;0.06103288;0.374850636;2.172042768;2.482829452;-9.057246;-59.519261;2.904358
26;1.565168516;0.077347764;0.417940698;1.896971461;2.564206578;-28.992898;-91.614479;0.333177
27;1.582326481;-0.018765776;0.419674893;2.012408577;2.728818577;-14.39606;-47.702117;-2.436491
28;1.500509093;0.038983033;0.482696071;1.837584508;2.958574115;-43.704704;-75.78761;5.249951
29;1.528120234;0.077526542;0.399549969;2.0422102;2.105402828;-11.100901;-94.29466;-2.241513
30;1.370735504;-0.010557139;0.165495628;1.714441063;2.55665597;-9.912362;-42.662942;2.108476
31;1.598266592;0.067401544;0.517291855;2.159303143;2.144611051;-9.554849;-70.453732;5.448571
32;1.522534694;0.042727729;0.414969993;1.799436609;2.784783563;-35.405308;-85.100685;4.887709
33;1.589475141;0.059268498;0.484736118;2.019458665;2.250396131;-17.93826;-55.764604;0.800086
34;1.691196018;0.079219008;0.517072293;2.126761092;2.312125945;-8.744267;-81.404357;4.149001
35;1.659270558;0.095591362;0.293264935;2.0494783;2.344790533;-11.288084;-101.210962;1.209149
36;1.643493211;0.081179285;0.380078048;1.97524024;2.337504184;-20.165497;-98.175454;4.478908
37;1.815720749;0.037854269;0.440846033;1.86317914;3.154962394;-16.539478;-51.959175;3.693547
38;1.615653212;0.074614767;0.501025017;2.089971462;2.256734709;-6.347189;-90.37197;3.563093
39;1.538233318;-0.002509953;0.232027471;1.692605332;2.964583498;-8.758193;-46.12546;4.515521
40;1.798305676;0.069054109;0.456338768;2.093444631;2.193356693;-18.886162;-68.530016;5.811099
