osmid,y,x,highway,street_count,lon,lat,elevation,ref,geometry
141540485,5034217.2220378015,724692.0524323853,crossing,4,11.8722156,45.4253554,11.017,,POINT (724692.0524323853 5034217.2220378015)
254672751,5034214.78035585,724686.9151817659,,3,11.8721489,45.4253351,11.044,,POINT (724686.9151817659 5034214.78035585)
197522982,5034188.344207406,724705.4056372979,,3,11.8723729,45.4250915,11.109,,POINT (724705.4056372979 5034188.344207406)
254672878,5034234.502062533,724685.3487468463,,3,11.8721379,45.4255129,11.045,,POINT (724685.3487468463 5034234.502062533)
2522360915,5034220.4813790545,724699.5259766739,,3,11.8723125,45.4253823,11.277,,POINT (724699.5259766739 5034220.4813790545)
2522360901,5034167.757504167,724711.0918296422,crossing,4,11.8724361,45.4249046,11.353,,POINT (724711.0918296422 5034167.757504167)
1706766353,5034285.395859767,724666.1489702093,,3,11.871916,45.4259766,11.517,,POINT (724666.1489702093 5034285.395859767)
251308762,5034170.461430868,724716.4077298235,,3,11.8725052,45.4249272,11.098,,POINT (724716.4077298235 5034170.461430868)
2522360911,5034194.70606477,724715.9641375807,crossing,4,11.8725106,45.4251453,11.591,,POINT (724715.9641375807 5034194.70606477)
2522360919,5034236.7451152885,724691.4643506426,,4,11.872217,45.4255311,11.11,,POINT (724691.4643506426 5034236.7451152885)
2796391751,5034279.164488531,724674.1809284061,,3,11.8720157,45.425918,10.941,,POINT (724674.1809284061 5034279.164488531)
2522360913,5034196.773225652,724714.6683219956,,3,11.872495,45.4251643,11.575,,POINT (724714.6683219956 5034196.773225652)
141541368,5036556.395576181,723994.1500321932,,3,11.8643702,45.4466084,14.282,,POINT (723994.1500321932 5036556.395576181)
185878812,5036374.4356146585,724139.1441783701,,3,11.8661391,45.4449261,19.055,,POINT (724139.1441783701 5036374.4356146585)
141541373,5036446.286652644,723892.809501285,,3,11.8630258,45.445651,16.569,,POINT (723892.809501285 5036446.286652644)
1693872464,5036580.129492061,723909.172351238,,3,11.8632957,45.446849,14.106,,POINT (723909.172351238 5036580.129492061)
1693872453,5034026.238877647,729410.184655195,motorway_junction,3,11.9323594,45.4221068,11.732,,POINT (729410.184655195 5034026.238877647)
1693872457,5036478.703108489,723682.4072678939,motorway_junction,3,11.8603534,45.4460098,14.182,,POINT (723682.4072678939 5036478.703108489)
1687954618,5036702.84500737,722755.8923620789,services,3,11.8486218,45.4483208,16.399,,POINT (722755.8923620789 5036702.84500737)
268034718,5036318.491813535,724450.0098253768,motorway_junction,3,11.8700837,45.4443234,13.971,,POINT (724450.0098253768 5036318.491813535)
470280066,5036780.967815892,722259.4951093837,,3,11.842317,45.4491812,16.449,,POINT (722259.4951093837 5036780.967815892)
470280053,5036733.76685799,722651.3764355545,,4,11.8473009,45.4486321,16.37,,POINT (722651.3764355545 5036733.76685799)
141541859,5036104.744874778,724000.0106570624,,3,11.8642394,45.4425462,17.52,,POINT (724000.0106570624 5036104.744874778)
207096100,5035869.14046867,724106.7793943179,motorway_junction,3,11.8654956,45.4403939,14.603,1,POINT (724106.7793943179 5035869.14046867)
207096079,5036157.813686722,724210.4783081654,motorway_junction,3,11.8669514,45.4429558,13.785,21,POINT (724210.4783081654 5036157.813686722)
263675697,5036350.401534671,723890.2991612224,motorway_junction,3,11.8629501,45.4447898,14.436,21,POINT (723890.2991612224 5036350.401534671)
207096108,5035144.15134318,724057.4038948588,,3,11.864535,45.4338921,13.21,,POINT (724057.4038948588 5035144.15134318)
243536338,5035573.17843314,724183.8519135172,,3,11.866345,45.4377085,14.264,,POINT (724183.8519135172 5035573.17843314)
141542464,5032980.418816084,725156.7944567209,,3,11.8775835,45.4140872,14.022,,POINT (725156.7944567209 5032980.418816084)
522059963,5033036.03879705,725172.6970192026,,1,11.8778119,45.4145821,13.25,,POINT (725172.6970192026 5033036.03879705)
522060014,5032962.023121492,725226.7724442271,,3,11.8784683,45.4138993,13.495,,POINT (725226.7724442271 5032962.023121492)
522060005,5032985.805573447,725139.4755292636,,3,11.8773649,45.4141412,14.314,,POINT (725139.4755292636 5032985.805573447)
522060017,5033007.2360119205,725244.6610766964,,1,11.8787173,45.4143,13.346,,POINT (725244.6610766964 5033007.2360119205)
