from,to,length_km,estimated_flow
1,1,0.0,2218505.8599999957
2,1,73.74744561362434,9238.939999999999
3,1,99.03089738628759,1491.559999999999
4,1,75.08811416018308,26007.200000000004
5,1,66.01213587877564,18231.920000000002
6,1,102.8091029974757,3974.580000000002
7,1,65.22848217310745,2071.7200000000003
8,1,136.28740730593066,102.71999999999998
9,1,117.22094983750083,392.76
10,1,152.918034767439,334.62
11,1,208.34487686235522,24.220000000000002
12,1,127.74157927736259,288.78000000000003
13,1,159.70078940428274,168.48000000000002
14,1,231.18738896626104,8.0
15,1,136.68387742019058,1850.7799999999993
16,1,197.49231760333132,194.88
17,1,233.12106204179108,104.8
18,1,125.81580462801239,347.70000000000005
19,1,201.08722086902827,56.82
20,1,261.40694525348704,56.0
22,1,307.30957411100985,144.78000000000003
23,1,283.8459530469187,247.88000000000002
24,1,322.52022604419625,73.98
26,1,380.5467854422872,16.32
27,1,395.31387124342064,4.0
28,1,343.65407034426926,14.02
29,1,353.5571118610797,38.419999999999995
33,1,174.68201807914548,55.620000000000005
34,1,212.5606911647048,54.42
35,1,253.047733944455,236.08000000000004
36,1,281.17206485928705,57.620000000000005
37,1,319.23933813764006,48.52
38,1,350.12378666314294,50.519999999999996
45,1,226.5093843847994,41.900000000000006
46,1,269.62275074080935,10.0
47,1,300.763773268269,23.119999999999997
48,1,339.9610880432821,18.92
49,1,329.3618850152781,2.0
50,1,315.5644552209708,12.96
58,1,547.7281786994837,37.86
63,1,738.0584813839055,16.299999999999997
89,1,1099.3322987713639,15.259999999999998
96,1,70.7947699781584,3995.08
97,1,173.92263531274833,72.76
98,1,168.5238415113358,67.1
100,1,319.1136004897727,10.0
103,1,126.4954997934123,128.94
108,1,153.30983106866967,387.7799999999999
1,2,73.74744561362434,6277.1399999999985
2,2,0.0,136617.7600000002
3,2,27.207023393932754,8696.96
4,2,126.25067247588731,35.46
5,2,71.8845807760507,234.98
6,2,85.1440883996448,2691.4999999999995
7,2,68.12478635895974,36.42
9,2,138.21270894699728,10.0
10,2,137.62878815775605,56.879999999999995
11,2,187.6243935530123,8.0
12,2,53.99732475356898,174.59999999999997
13,2,86.00040689055956,53.46
